Kanton,Kanton-ID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Schweiz,27,69529,67384,63310,60197,57953,55297,54628,54838,57768,60059,61668,61611,62457,61917,62905,63009,64069,64100,66827,66711,67493,67283,66216,62162,60045,57747,56956,54052,52400,50791,50441,47396,46676,45986,46731,46637,47086,47685,48951,49845,50592,50384,50829,50715,51630,52213
Zürich,1,10544,9886,9169,8521,8361,7963,8182,8162,9364,9559,9926,9903,10035,10030,9928,10046,10201,10065,10156,10250,10166,10015,9790,9192,8855,8612,8400,8206,7914,7745,7788,7407,7434,7519,7812,7816,8117,8216,8714,8926,9116,9249,9125,9175,9574,9590
Bern,2,11196,10897,10336,9653,9332,8872,8753,8687,8849,9126,9283,9529,9514,9394,9311,9327,9440,9332,9917,9586,9682,9583,9453,8826,8601,8191,7974,7515,7198,7078,6887,6575,6334,6238,6362,6342,6391,6499,6729,6910,6957,6939,7090,6878,7001,7171
Luzern,3,4273,4201,3894,3608,3425,3300,3223,3246,3312,3289,3399,3373,3569,3512,3617,3495,3654,3641,3735,3731,3860,3781,3696,3563,3357,3302,3341,3117,2935,2963,2720,2532,2547,2425,2525,2512,2602,2640,2797,2813,2849,2864,2940,2930,2958,2936
Uri,4,540,545,552,529,512,464,452,471,433,473,461,414,410,400,432,402,452,437,408,402,439,405,427,402,386,370,379,345,361,334,350,302,317,281,303,260,288,275,282,302,299,259,294,258,265,259
Schwyz,5,1388,1372,1281,1210,1251,1132,1181,1099,1178,1262,1263,1214,1282,1259,1277,1260,1329,1308,1342,1307,1407,1330,1356,1288,1241,1305,1197,1231,1123,1118,1176,1017,1053,1105,1103,1087,1039,1015,1113,1034,1038,992,1086,1028,1017,1093
Obwalden,6,400,383,389,353,348,326,328,347,324,348,373,374,379,327,371,368,381,373,400,385,381,393,369,364,322,326,325,296,323,317,307,275,258,262,279,237,282,287,277,294,274,292,311,273,297,285
Nidwalden,7,427,421,356,365,402,395,366,391,392,357,407,432,387,444,421,460,439,457,465,446,472,476,475,422,422,387,365,355,354,332,335,292,300,304,311,322,298,302,319,286,301,300,289,297,296,318
Glarus,8,372,364,331,311,292,307,289,305,305,344,362,387,346,411,406,384,367,388,415,385,337,385,355,326,352,315,310,295,296,233,267,228,197,213,194,208,229,232,201,207,211,233,236,277,246,269
Zug,9,891,901,873,897,763,760,771,731,801,830,838,837,823,785,840,890,917,892,898,905,868,863,869,793,862,797,827,796,796,727,827,762,725,743,742,747,769,744,763,766,745,747,730,748,726,756
Freiburg,10,2649,2538,2542,2408,2311,2145,2063,2046,1925,2080,2076,2094,2080,2088,2188,2203,2270,2211,2306,2456,2520,2570,2595,2476,2443,2365,2422,2234,2233,2147,2123,2114,1952,2037,1987,1944,1955,1959,1996,2100,2111,2085,2057,2137,2176,2162
