MunicipalityNumber,MunicipalityName,kanton_id,Country,Scenario1_RoofsOnly_PotentialSolarElectricity_GWh,Scenario2_RoofsOnly_PotentialSolarElectricity_GWh,Scenario2_RoofsOnly_PotentialSolarHeat_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_GWh,Scenario4_RoofsFacades_PotentialSolarElectricity_GWh,Scenario4_RoofsFacades_PotentialSolarHeat_GWh,Factsheet,Methodology
1,Aeugst am Albis,1,CH,13.43,8.7,4.72,18.06,13.33,4.72,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/1.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
2,Affoltern am Albis,1,CH,50.06,33.83,18.63,69.25,53.02,18.63,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/2.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
3,Bonstetten,1,CH,19.66,11.48,8.79,26.72,18.54,8.79,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/3.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4,Hausen am Albis,1,CH,23.67,15.7,8.38,32.61,24.64,8.38,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
5,Hedingen,1,CH,19.14,11.97,7.19,25.68,18.51,7.19,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/5.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
6,Kappel am Albis,1,CH,9.47,6.5,2.88,12.45,9.48,2.88,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/6.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
7,Knonau,1,CH,13.18,9.13,3.94,17.83,13.78,3.94,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/7.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
8,Maschwanden,1,CH,6.12,4.12,1.81,7.94,5.94,1.81,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/8.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
9,Mettmenstetten,1,CH,30.41,21.05,9.32,41.17,31.81,9.32,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/9.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
10,Obfelden,1,CH,24.82,14.98,9.58,34.26,24.42,9.58,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/10.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
11,Ottenbach,1,CH,15.96,9.71,5.99,21.53,15.28,5.99,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/11.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
12,Rifferswil,1,CH,9.55,6.96,2.48,12.52,9.93,2.48,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/12.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
13,Stallikon,1,CH,16.73,9.13,7.87,22.02,14.42,7.87,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/13.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
