Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.59,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.23,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",14.23,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",4.16,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",20.82,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",28.85,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",25.56,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",22.01,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",40.87,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",13257.49,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",24.98,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",12.63,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",28.4,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",24.4,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",26.79,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",22.89,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",36.54,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",21.14,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",10.37,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",24.53,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",24.34,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",25.09,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",24.43,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",34.86,"provisorisch"
"2021-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",6.61,"provisorisch"
"2021-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.85,"provisorisch"
"2021-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",11.34,"provisorisch"
"2021-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",39.04,"provisorisch"
"2021-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",52.2,"provisorisch"
"2021-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.44,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.2,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",12.06,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.99,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",16.94,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",28.63,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",15.51,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",13.38,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",36.78,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-02T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",8079.54,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",17.03,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.29,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",19.85,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",28.17,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",16.33,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",13.54,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",35.9,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",23.58,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",15.07,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",21.98,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",26.94,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",16.52,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",15.51,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",36.44,"provisorisch"
"2021-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.66,"provisorisch"
"2021-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.46,"provisorisch"
"2021-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",10.13,"provisorisch"
"2021-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",34.04,"provisorisch"
"2021-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",41.11,"provisorisch"
"2021-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.32,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.26,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",14.43,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.41,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",19.28,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",21.23,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",22.71,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",19.56,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",33.64,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-03T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",9132.45,"provisorisch"
"2021-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",26.24,"provisorisch"
